date,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,999199.6402877698
2021-01-07,1078582.6180675635
2021-01-08,1163146.7253604685
2021-01-11,1072172.231044872
2021-01-12,1122728.3124980931
2021-01-13,1129297.3407173255
2021-01-14,1116859.7983038605
2021-01-15,1091958.454789173
2021-01-19,1116265.0450765544
2021-01-20,1124063.2703014782
2021-01-21,1116846.608456093
2021-01-22,1119027.4106254738
2021-01-25,1164177.7116263174
2021-01-26,1167204.4791694714
2021-01-27,1142184.185009323
2021-01-28,1104210.855302785
2021-01-29,1048830.556776725
2021-02-01,1110000.1094026363
2021-02-02,1153590.6201491617
2021-02-03,1129667.3825014764
2021-02-04,1123455.2062186275
2021-02-05,1126415.9035151673
2021-02-08,1141206.0791423211
2021-02-09,1122754.6921936276
2021-02-10,1063752.8728971076
2021-02-11,1072793.48497549
2021-02-12,1078688.3788652574
2021-02-16,1052386.0073005706
2021-02-17,1054936.8512541023
2021-02-18,1040701.8593109522
2021-02-19,1032665.7327951061
2021-02-22,944374.404437936
2021-02-23,922936.2041571888
2021-02-24,922197.4462002286
2021-02-25,888392.0456094778
2021-02-26,918906.1424375895
2021-03-01,918906.1424375895
2021-03-02,918906.1424375895
2021-03-03,918170.6059528273
2021-03-04,868222.3535171548
2021-03-05,868222.3535171548
2021-03-08,868222.3535171548
2021-03-09,868222.3535171548
2021-03-10,868222.3535171548
2021-03-11,868222.3535171548
2021-03-12,868222.3535171548
2021-03-15,868222.3535171548
2021-03-16,868222.3535171548
2021-03-17,868222.3535171548
2021-03-18,868222.3535171548
2021-03-19,868222.3535171548
2021-03-22,868222.3535171548
2021-03-23,868222.3535171548
2021-03-24,868222.3535171548
2021-03-25,868222.3535171548
2021-03-26,868222.3535171548
2021-03-29,868222.3535171548
2021-03-30,868222.3535171548
2021-03-31,868222.3535171548
2021-04-01,868222.3535171548
2021-04-05,868222.3535171548
2021-04-06,868222.3535171548
2021-04-07,867527.3316518334
2021-04-08,868836.4826247537
2021-04-09,866092.9316108888
2021-04-12,841714.2939642081
2021-04-13,842338.0542037735
2021-04-14,836352.5404085243
2021-04-15,838035.7487171396
2021-04-16,833796.3659765845
2021-04-19,816089.0304745969
2021-04-20,801748.7577159842
2021-04-21,842026.6214020908
2021-04-22,821450.933136314
2021-04-23,840841.62605295
